scenario_method_id,scenario_id,method_id,constraint_name,constraint_status,lhs_value,operator,rhs_value,slack_value,diagnostic_note,allowed_use_note,proxy_assumption_label
scenario:radius-aggressive|method:mclp-pulp-cbc,scenario:radius-aggressive,method:mclp-pulp-cbc,budget,pass,5900000,<=,10000000,4100000.0,Selected candidate cost is within the scenario budget.,Constraint diagnostics for optimization QA only; smoke scope is not a full pilot rollout recommendation.,tile_smoke_optimization_constraint_diagnostics_not_investment_grade
scenario:radius-aggressive|method:mclp-pulp-cbc,scenario:radius-aggressive,method:mclp-pulp-cbc,site_count,pass,10,<=,10,0.0,Selected candidate count is within the scenario k limit.,Constraint diagnostics for optimization QA only; smoke scope is not a full pilot rollout recommendation.,tile_smoke_optimization_constraint_diagnostics_not_investment_grade
scenario:radius-aggressive|method:mclp-pulp-cbc,scenario:radius-aggressive,method:mclp-pulp-cbc,solver_status,pass,optimal_milp,in,benchmark_feasible|optimal_milp|optimal_min_cost|optimal_shortlist,,optimal_milp is an accepted feasible status.,Constraint diagnostics for optimization QA only; smoke scope is not a full pilot rollout recommendation.,tile_smoke_optimization_constraint_diagnostics_not_investment_grade
scenario:radius-aggressive|method:mclp-pulp-cbc,scenario:radius-aggressive,method:mclp-pulp-cbc,objective_nonnegative,pass,41225528,>=,0,41225528.0,Objective value is nonnegative.,Constraint diagnostics for optimization QA only; smoke scope is not a full pilot rollout recommendation.,tile_smoke_optimization_constraint_diagnostics_not_investment_grade
scenario:radius-aggressive|method:mclp-pulp-cbc,scenario:radius-aggressive,method:mclp-pulp-cbc,coverage_floor,pass,41225528,>=,0,41225528.0,Covered demand meets the method coverage floor.,Constraint diagnostics for optimization QA only; smoke scope is not a full pilot rollout recommendation.,tile_smoke_optimization_constraint_diagnostics_not_investment_grade
scenario:radius-aggressive|method:min-cost-coverage-pulp,scenario:radius-aggressive,method:min-cost-coverage-pulp,budget,pass,550000,<=,10000000,9450000.0,Selected candidate cost is within the scenario budget.,Constraint diagnostics for optimization QA only; smoke scope is not a full pilot rollout recommendation.,tile_smoke_optimization_constraint_diagnostics_not_investment_grade
scenario:radius-aggressive|method:min-cost-coverage-pulp,scenario:radius-aggressive,method:min-cost-coverage-pulp,site_count,pass,1,<=,10,9.0,Selected candidate count is within the scenario k limit.,Constraint diagnostics for optimization QA only; smoke scope is not a full pilot rollout recommendation.,tile_smoke_optimization_constraint_diagnostics_not_investment_grade
scenario:radius-aggressive|method:min-cost-coverage-pulp,scenario:radius-aggressive,method:min-cost-coverage-pulp,solver_status,pass,optimal_min_cost,in,benchmark_feasible|optimal_milp|optimal_min_cost|optimal_shortlist,,optimal_min_cost is an accepted feasible status.,Constraint diagnostics for optimization QA only; smoke scope is not a full pilot rollout recommendation.,tile_smoke_optimization_constraint_diagnostics_not_investment_grade
scenario:radius-aggressive|method:min-cost-coverage-pulp,scenario:radius-aggressive,method:min-cost-coverage-pulp,objective_nonnegative,pass,12549288,>=,0,12549288.0,Objective value is nonnegative.,Constraint diagnostics for optimization QA only; smoke scope is not a full pilot rollout recommendation.,tile_smoke_optimization_constraint_diagnostics_not_investment_grade
scenario:radius-aggressive|method:min-cost-coverage-pulp,scenario:radius-aggressive,method:min-cost-coverage-pulp,coverage_floor,pass,12549288,>=,11294359.2,1254928.8,Covered demand meets the method coverage floor.,Constraint diagnostics for optimization QA only; smoke scope is not a full pilot rollout recommendation.,tile_smoke_optimization_constraint_diagnostics_not_investment_grade
scenario:radius-base|method:baseline-topk,scenario:radius-base,method:baseline-topk,budget,pass,5570000,<=,10000000,4430000.0,Selected candidate cost is within the scenario budget.,Constraint diagnostics for optimization QA only; smoke scope is not a full pilot rollout recommendation.,tile_smoke_optimization_constraint_diagnostics_not_investment_grade
scenario:radius-base|method:baseline-topk,scenario:radius-base,method:baseline-topk,site_count,pass,10,<=,10,0.0,Selected candidate count is within the scenario k limit.,Constraint diagnostics for optimization QA only; smoke scope is not a full pilot rollout recommendation.,tile_smoke_optimization_constraint_diagnostics_not_investment_grade
scenario:radius-base|method:baseline-topk,scenario:radius-base,method:baseline-topk,solver_status,pass,benchmark_feasible,in,benchmark_feasible|optimal_milp|optimal_min_cost|optimal_shortlist,,benchmark_feasible is an accepted feasible status.,Constraint diagnostics for optimization QA only; smoke scope is not a full pilot rollout recommendation.,tile_smoke_optimization_constraint_diagnostics_not_investment_grade
scenario:radius-base|method:baseline-topk,scenario:radius-base,method:baseline-topk,objective_nonnegative,pass,8197709,>=,0,8197709.0,Objective value is nonnegative.,Constraint diagnostics for optimization QA only; smoke scope is not a full pilot rollout recommendation.,tile_smoke_optimization_constraint_diagnostics_not_investment_grade
scenario:radius-base|method:baseline-topk,scenario:radius-base,method:baseline-topk,coverage_floor,pass,8197709,>=,0,8197709.0,Covered demand meets the method coverage floor.,Constraint diagnostics for optimization QA only; smoke scope is not a full pilot rollout recommendation.,tile_smoke_optimization_constraint_diagnostics_not_investment_grade
scenario:radius-base|method:mclp-shortlist-exact,scenario:radius-base,method:mclp-shortlist-exact,budget,pass,550000,<=,10000000,9450000.0,Selected candidate cost is within the scenario budget.,Constraint diagnostics for optimization QA only; smoke scope is not a full pilot rollout recommendation.,tile_smoke_optimization_constraint_diagnostics_not_investment_grade
scenario:radius-base|method:mclp-shortlist-exact,scenario:radius-base,method:mclp-shortlist-exact,site_count,pass,1,<=,10,9.0,Selected candidate count is within the scenario k limit.,Constraint diagnostics for optimization QA only; smoke scope is not a full pilot rollout recommendation.,tile_smoke_optimization_constraint_diagnostics_not_investment_grade
scenario:radius-base|method:mclp-shortlist-exact,scenario:radius-base,method:mclp-shortlist-exact,solver_status,pass,optimal_shortlist,in,benchmark_feasible|optimal_milp|optimal_min_cost|optimal_shortlist,,optimal_shortlist is an accepted feasible status.,Constraint diagnostics for optimization QA only; smoke scope is not a full pilot rollout recommendation.,tile_smoke_optimization_constraint_diagnostics_not_investment_grade
scenario:radius-base|method:mclp-shortlist-exact,scenario:radius-base,method:mclp-shortlist-exact,objective_nonnegative,pass,8197709,>=,0,8197709.0,Objective value is nonnegative.,Constraint diagnostics for optimization QA only; smoke scope is not a full pilot rollout recommendation.,tile_smoke_optimization_constraint_diagnostics_not_investment_grade
scenario:radius-base|method:mclp-shortlist-exact,scenario:radius-base,method:mclp-shortlist-exact,coverage_floor,pass,8197709,>=,0,8197709.0,Covered demand meets the method coverage floor.,Constraint diagnostics for optimization QA only; smoke scope is not a full pilot rollout recommendation.,tile_smoke_optimization_constraint_diagnostics_not_investment_grade
scenario:radius-base|method:mclp-pulp-cbc,scenario:radius-base,method:mclp-pulp-cbc,budget,pass,5920000,<=,10000000,4080000.0,Selected candidate cost is within the scenario budget.,Constraint diagnostics for optimization QA only; smoke scope is not a full pilot rollout recommendation.,tile_smoke_optimization_constraint_diagnostics_not_investment_grade
scenario:radius-base|method:mclp-pulp-cbc,scenario:radius-base,method:mclp-pulp-cbc,site_count,pass,10,<=,10,0.0,Selected candidate count is within the scenario k limit.,Constraint diagnostics for optimization QA only; smoke scope is not a full pilot rollout recommendation.,tile_smoke_optimization_constraint_diagnostics_not_investment_grade
scenario:radius-base|method:mclp-pulp-cbc,scenario:radius-base,method:mclp-pulp-cbc,solver_status,pass,optimal_milp,in,benchmark_feasible|optimal_milp|optimal_min_cost|optimal_shortlist,,optimal_milp is an accepted feasible status.,Constraint diagnostics for optimization QA only; smoke scope is not a full pilot rollout recommendation.,tile_smoke_optimization_constraint_diagnostics_not_investment_grade
scenario:radius-base|method:mclp-pulp-cbc,scenario:radius-base,method:mclp-pulp-cbc,objective_nonnegative,pass,27652281,>=,0,27652281.0,Objective value is nonnegative.,Constraint diagnostics for optimization QA only; smoke scope is not a full pilot rollout recommendation.,tile_smoke_optimization_constraint_diagnostics_not_investment_grade
scenario:radius-base|method:mclp-pulp-cbc,scenario:radius-base,method:mclp-pulp-cbc,coverage_floor,pass,27652281,>=,0,27652281.0,Covered demand meets the method coverage floor.,Constraint diagnostics for optimization QA only; smoke scope is not a full pilot rollout recommendation.,tile_smoke_optimization_constraint_diagnostics_not_investment_grade
scenario:radius-base|method:min-cost-coverage-pulp,scenario:radius-base,method:min-cost-coverage-pulp,budget,pass,550000,<=,10000000,9450000.0,Selected candidate cost is within the scenario budget.,Constraint diagnostics for optimization QA only; smoke scope is not a full pilot rollout recommendation.,tile_smoke_optimization_constraint_diagnostics_not_investment_grade
scenario:radius-base|method:min-cost-coverage-pulp,scenario:radius-base,method:min-cost-coverage-pulp,site_count,pass,1,<=,10,9.0,Selected candidate count is within the scenario k limit.,Constraint diagnostics for optimization QA only; smoke scope is not a full pilot rollout recommendation.,tile_smoke_optimization_constraint_diagnostics_not_investment_grade
scenario:radius-base|method:min-cost-coverage-pulp,scenario:radius-base,method:min-cost-coverage-pulp,solver_status,pass,optimal_min_cost,in,benchmark_feasible|optimal_milp|optimal_min_cost|optimal_shortlist,,optimal_min_cost is an accepted feasible status.,Constraint diagnostics for optimization QA only; smoke scope is not a full pilot rollout recommendation.,tile_smoke_optimization_constraint_diagnostics_not_investment_grade
scenario:radius-base|method:min-cost-coverage-pulp,scenario:radius-base,method:min-cost-coverage-pulp,objective_nonnegative,pass,8197709,>=,0,8197709.0,Objective value is nonnegative.,Constraint diagnostics for optimization QA only; smoke scope is not a full pilot rollout recommendation.,tile_smoke_optimization_constraint_diagnostics_not_investment_grade
scenario:radius-base|method:min-cost-coverage-pulp,scenario:radius-base,method:min-cost-coverage-pulp,coverage_floor,pass,8197709,>=,7377938.1,819770.9,Covered demand meets the method coverage floor.,Constraint diagnostics for optimization QA only; smoke scope is not a full pilot rollout recommendation.,tile_smoke_optimization_constraint_diagnostics_not_investment_grade
scenario:radius-conservative|method:baseline-topk,scenario:radius-conservative,method:baseline-topk,budget,pass,5540000,<=,10000000,4460000.0,Selected candidate cost is within the scenario budget.,Constraint diagnostics for optimization QA only; smoke scope is not a full pilot rollout recommendation.,tile_smoke_optimization_constraint_diagnostics_not_investment_grade
scenario:radius-conservative|method:baseline-topk,scenario:radius-conservative,method:baseline-topk,site_count,pass,10,<=,10,0.0,Selected candidate count is within the scenario k limit.,Constraint diagnostics for optimization QA only; smoke scope is not a full pilot rollout recommendation.,tile_smoke_optimization_constraint_diagnostics_not_investment_grade
scenario:radius-conservative|method:baseline-topk,scenario:radius-conservative,method:baseline-topk,solver_status,pass,benchmark_feasible,in,benchmark_feasible|optimal_milp|optimal_min_cost|optimal_shortlist,,benchmark_feasible is an accepted feasible status.,Constraint diagnostics for optimization QA only; smoke scope is not a full pilot rollout recommendation.,tile_smoke_optimization_constraint_diagnostics_not_investment_grade
scenario:radius-conservative|method:baseline-topk,scenario:radius-conservative,method:baseline-topk,objective_nonnegative,pass,6900499,>=,0,6900499.0,Objective value is nonnegative.,Constraint diagnostics for optimization QA only; smoke scope is not a full pilot rollout recommendation.,tile_smoke_optimization_constraint_diagnostics_not_investment_grade
scenario:radius-conservative|method:baseline-topk,scenario:radius-conservative,method:baseline-topk,coverage_floor,pass,6900499,>=,0,6900499.0,Covered demand meets the method coverage floor.,Constraint diagnostics for optimization QA only; smoke scope is not a full pilot rollout recommendation.,tile_smoke_optimization_constraint_diagnostics_not_investment_grade
scenario:radius-conservative|method:mclp-shortlist-exact,scenario:radius-conservative,method:mclp-shortlist-exact,budget,pass,550000,<=,10000000,9450000.0,Selected candidate cost is within the scenario budget.,Constraint diagnostics for optimization QA only; smoke scope is not a full pilot rollout recommendation.,tile_smoke_optimization_constraint_diagnostics_not_investment_grade
scenario:radius-conservative|method:mclp-shortlist-exact,scenario:radius-conservative,method:mclp-shortlist-exact,site_count,pass,1,<=,10,9.0,Selected candidate count is within the scenario k limit.,Constraint diagnostics for optimization QA only; smoke scope is not a full pilot rollout recommendation.,tile_smoke_optimization_constraint_diagnostics_not_investment_grade
scenario:radius-conservative|method:mclp-shortlist-exact,scenario:radius-conservative,method:mclp-shortlist-exact,solver_status,pass,optimal_shortlist,in,benchmark_feasible|optimal_milp|optimal_min_cost|optimal_shortlist,,optimal_shortlist is an accepted feasible status.,Constraint diagnostics for optimization QA only; smoke scope is not a full pilot rollout recommendation.,tile_smoke_optimization_constraint_diagnostics_not_investment_grade
scenario:radius-conservative|method:mclp-shortlist-exact,scenario:radius-conservative,method:mclp-shortlist-exact,objective_nonnegative,pass,6900499,>=,0,6900499.0,Objective value is nonnegative.,Constraint diagnostics for optimization QA only; smoke scope is not a full pilot rollout recommendation.,tile_smoke_optimization_constraint_diagnostics_not_investment_grade
scenario:radius-conservative|method:mclp-shortlist-exact,scenario:radius-conservative,method:mclp-shortlist-exact,coverage_floor,pass,6900499,>=,0,6900499.0,Covered demand meets the method coverage floor.,Constraint diagnostics for optimization QA only; smoke scope is not a full pilot rollout recommendation.,tile_smoke_optimization_constraint_diagnostics_not_investment_grade
scenario:radius-conservative|method:mclp-pulp-cbc,scenario:radius-conservative,method:mclp-pulp-cbc,budget,pass,5680000,<=,10000000,4320000.0,Selected candidate cost is within the scenario budget.,Constraint diagnostics for optimization QA only; smoke scope is not a full pilot rollout recommendation.,tile_smoke_optimization_constraint_diagnostics_not_investment_grade
scenario:radius-conservative|method:mclp-pulp-cbc,scenario:radius-conservative,method:mclp-pulp-cbc,site_count,pass,10,<=,10,0.0,Selected candidate count is within the scenario k limit.,Constraint diagnostics for optimization QA only; smoke scope is not a full pilot rollout recommendation.,tile_smoke_optimization_constraint_diagnostics_not_investment_grade
scenario:radius-conservative|method:mclp-pulp-cbc,scenario:radius-conservative,method:mclp-pulp-cbc,solver_status,pass,optimal_milp,in,benchmark_feasible|optimal_milp|optimal_min_cost|optimal_shortlist,,optimal_milp is an accepted feasible status.,Constraint diagnostics for optimization QA only; smoke scope is not a full pilot rollout recommendation.,tile_smoke_optimization_constraint_diagnostics_not_investment_grade
scenario:radius-conservative|method:mclp-pulp-cbc,scenario:radius-conservative,method:mclp-pulp-cbc,objective_nonnegative,pass,18287940,>=,0,18287940.0,Objective value is nonnegative.,Constraint diagnostics for optimization QA only; smoke scope is not a full pilot rollout recommendation.,tile_smoke_optimization_constraint_diagnostics_not_investment_grade
scenario:radius-conservative|method:mclp-pulp-cbc,scenario:radius-conservative,method:mclp-pulp-cbc,coverage_floor,pass,18287940,>=,0,18287940.0,Covered demand meets the method coverage floor.,Constraint diagnostics for optimization QA only; smoke scope is not a full pilot rollout recommendation.,tile_smoke_optimization_constraint_diagnostics_not_investment_grade
scenario:radius-conservative|method:min-cost-coverage-pulp,scenario:radius-conservative,method:min-cost-coverage-pulp,budget,pass,550000,<=,10000000,9450000.0,Selected candidate cost is within the scenario budget.,Constraint diagnostics for optimization QA only; smoke scope is not a full pilot rollout recommendation.,tile_smoke_optimization_constraint_diagnostics_not_investment_grade
scenario:radius-conservative|method:min-cost-coverage-pulp,scenario:radius-conservative,method:min-cost-coverage-pulp,site_count,pass,1,<=,10,9.0,Selected candidate count is within the scenario k limit.,Constraint diagnostics for optimization QA only; smoke scope is not a full pilot rollout recommendation.,tile_smoke_optimization_constraint_diagnostics_not_investment_grade
scenario:radius-conservative|method:min-cost-coverage-pulp,scenario:radius-conservative,method:min-cost-coverage-pulp,solver_status,pass,optimal_min_cost,in,benchmark_feasible|optimal_milp|optimal_min_cost|optimal_shortlist,,optimal_min_cost is an accepted feasible status.,Constraint diagnostics for optimization QA only; smoke scope is not a full pilot rollout recommendation.,tile_smoke_optimization_constraint_diagnostics_not_investment_grade
scenario:radius-conservative|method:min-cost-coverage-pulp,scenario:radius-conservative,method:min-cost-coverage-pulp,objective_nonnegative,pass,6900499,>=,0,6900499.0,Objective value is nonnegative.,Constraint diagnostics for optimization QA only; smoke scope is not a full pilot rollout recommendation.,tile_smoke_optimization_constraint_diagnostics_not_investment_grade
scenario:radius-conservative|method:min-cost-coverage-pulp,scenario:radius-conservative,method:min-cost-coverage-pulp,coverage_floor,pass,6900499,>=,6210449.1,690049.9,Covered demand meets the method coverage floor.,Constraint diagnostics for optimization QA only; smoke scope is not a full pilot rollout recommendation.,tile_smoke_optimization_constraint_diagnostics_not_investment_grade
